Entity,Code,Year,Solar photovoltaic levelized cost of energy
Argentina,ARG,1995,
Argentina,ARG,1997,
Argentina,ARG,2008,
Argentina,ARG,2009,
Argentina,ARG,2012,
Argentina,ARG,2013,
Argentina,ARG,2014,
Argentina,ARG,2015,
Argentina,ARG,2017,
Argentina,ARG,2018,
Argentina,ARG,2019,
Argentina,ARG,2020,
Argentina,ARG,2021,
Argentina,ARG,2022,
Argentina,ARG,2023,
Argentina,ARG,2024,
Australia,AUS,2010,0.47926226
Australia,AUS,2011,0.4866601
Australia,AUS,2012,0.29418796
Australia,AUS,2013,0.16840646
Australia,AUS,2014,0.13854918
Australia,AUS,2015,0.11901391
Australia,AUS,2016,0.09129986
Australia,AUS,2017,0.09988753
Australia,AUS,2018,0.08195865
Australia,AUS,2019,0.07813796
Australia,AUS,2020,0.05878333
Australia,AUS,2021,0.047998764
Australia,AUS,2022,0.042101234
Australia,AUS,2023,0.035940908
Australia,AUS,2024,0.049015902
Australia,AUS,1998,
Australia,AUS,2000,
Australia,AUS,2001,
Australia,AUS,2002,
Australia,AUS,2003,
Australia,AUS,2004,
Australia,AUS,2005,
Australia,AUS,2006,
Australia,AUS,2007,
Australia,AUS,2008,
Australia,AUS,2009,
Austria,AUT,1995,
Austria,AUT,1996,
Austria,AUT,1998,
Austria,AUT,1999,
Austria,AUT,2000,
Austria,AUT,2012,
Austria,AUT,2013,
Austria,AUT,2014,
Austria,AUT,2015,
Austria,AUT,2016,
Austria,AUT,2017,
Austria,AUT,2018,
Austria,AUT,2022,
Austria,AUT,2023,
Austria,AUT,2024,
Brazil,BRA,2011,0.6053033
Brazil,BRA,2013,0.43039694
Brazil,BRA,2014,0.16475248
Brazil,BRA,2015,0.18041137
Brazil,BRA,2016,0.1369159
Brazil,BRA,2017,0.0901882
Brazil,BRA,2018,0.109691635
Brazil,BRA,2019,0.10002088
Brazil,BRA,2020,0.079168685
Brazil,BRA,2021,0.048540507
Brazil,BRA,2022,0.044522054
Brazil,BRA,2023,0.042362943
Brazil,BRA,2024,0.047700368
Brazil,BRA,2001,
Brazil,BRA,2002,
Brazil,BRA,2003,
Brazil,BRA,2005,
Brazil,BRA,2006,
Brazil,BRA,2007,
Brazil,BRA,2008,
Brazil,BRA,2009,
Brazil,BRA,2010,
Brazil,BRA,2012,
Canada,CAN,2018,0.18080433
Canada,CAN,2019,0.11745339
Canada,CAN,2020,0.09763462
Canada,CAN,2021,0.08277906
Canada,CAN,2022,0.07016715
Canada,CAN,2023,0.10339027
Canada,CAN,1990,
Canada,CAN,1992,
Canada,CAN,1993,
Canada,CAN,1994,
Canada,CAN,1996,
Canada,CAN,1999,
Canada,CAN,2000,
Canada,CAN,2001,
Canada,CAN,2002,
Canada,CAN,2003,
Canada,CAN,2004,
Canada,CAN,2005,
Canada,CAN,2006,
Canada,CAN,2007,
Canada,CAN,2008,
Canada,CAN,2009,
Canada,CAN,2010,
Canada,CAN,2011,
Canada,CAN,2012,
Canada,CAN,2013,
Canada,CAN,2014,
Canada,CAN,2015,
Canada,CAN,2016,
Canada,CAN,2017,
Canada,CAN,2024,
Chile,CHL,2012,0.21183105
Chile,CHL,2013,0.157189
Chile,CHL,2014,0.15463941
Chile,CHL,2015,0.10709144
Chile,CHL,2016,0.098394565
Chile,CHL,2017,0.09464638
Chile,CHL,2018,0.12548593
Chile,CHL,2019,0.100047104
Chile,CHL,2020,0.06764591
Chile,CHL,2021,0.048228715
Chile,CHL,2022,0.044062603
Chile,CHL,2023,0.041903578
Chile,CHL,2009,
Chile,CHL,2011,
Chile,CHL,2024,
China,CHN,2010,0.34322062
China,CHN,2011,0.30212963
China,CHN,2012,0.22277415
China,CHN,2013,0.1744273
China,CHN,2014,0.130179
China,CHN,2015,0.09669816
China,CHN,2016,0.08375809
China,CHN,2017,0.07319116
China,CHN,2018,0.055854745
China,CHN,2019,0.05163111
China,CHN,2020,0.043841377
China,CHN,2021,0.039096348
China,CHN,2022,0.038661644
China,CHN,2023,0.03606884
China,CHN,2024,0.033003286
China,CHN,1996,
China,CHN,1997,
China,CHN,1998,
China,CHN,1999,
China,CHN,2000,
China,CHN,2001,
China,CHN,2002,
China,CHN,2003,
China,CHN,2004,
China,CHN,2005,
China,CHN,2006,
China,CHN,2007,
China,CHN,2008,
China,CHN,2009,
Costa Rica,CRI,1999,
Costa Rica,CRI,2003,
Costa Rica,CRI,2009,
Costa Rica,CRI,2011,
Costa Rica,CRI,2012,
Costa Rica,CRI,2014,
Costa Rica,CRI,2015,
Costa Rica,CRI,2016,
Costa Rica,CRI,2017,
Croatia,HRV,2008,
Croatia,HRV,2009,
Croatia,HRV,2011,
Croatia,HRV,2012,
Croatia,HRV,2014,
Croatia,HRV,2015,
Croatia,HRV,2016,
Croatia,HRV,2017,
Croatia,HRV,2020,
Croatia,HRV,2021,
Croatia,HRV,2023,
Cyprus,CYP,2010,
Cyprus,CYP,2011,
Cyprus,CYP,2012,
Cyprus,CYP,2013,
Cyprus,CYP,2016,
Denmark,DNK,1984,
Denmark,DNK,1985,
Denmark,DNK,1986,
Denmark,DNK,1987,
Denmark,DNK,1988,
Denmark,DNK,1989,
Denmark,DNK,1990,
Denmark,DNK,1991,
Denmark,DNK,1992,
Denmark,DNK,1993,
Denmark,DNK,1995,
Denmark,DNK,1996,
Denmark,DNK,1997,
Denmark,DNK,1998,
Denmark,DNK,1999,
Denmark,DNK,2000,
Denmark,DNK,2001,
Denmark,DNK,2002,
Denmark,DNK,2003,
Denmark,DNK,2004,
Denmark,DNK,2005,
Denmark,DNK,2006,
Denmark,DNK,2008,
Denmark,DNK,2010,
Denmark,DNK,2011,
Denmark,DNK,2012,
Denmark,DNK,2013,
Denmark,DNK,2015,
Denmark,DNK,2016,
