iso3,FPV_TWh,FPV_NetProfit_R_perkWH,FPV_NetProfit_B_perkWH,FPV_NetProfit_R,FPV_NetProfit_B,Class
AGO,0.6244210857897905,-0.027619770000000002,-0.03061977,-17246366.772664282,-19119630.030033655,LM
ALB,6.112483129387319,0.07438023,0.09038023,454647901.0349486,552447631.1051456,UM
ARG,1.5111056252150097,0.031380229999999995,0.04938023,47418842.07354079,74618743.32741098,UM
ARM,3.461001333642998,0.06838023,0.06638023,236664067.22481495,229742064.55752894,UM
AUS,6.947228698274311,0.204984098,0.187984098,1424071408.315474,1305968520.4448104,H
AUT,4.023472699635225,0.29338023,0.24938022999999998,1180407346.0177033,1003374547.2337534,H
AZE,9.238120553044418,0.004380229999999999,0.02138023,40465092.79006174,197513142.19181684,UM
BDI,15.965567512170114,,,,,L
BEL,0.04586337721350494,0.35738023,0.21938023,16390664.297139157,10061518.241675474,H
BEN,2.418330162219279,,,,,LM
BFA,0.48560098100527127,0.16138022999999999,0.16838023,78366398.0028563,81765604.86989321,L
BGD,5.23094829055561,0.01938023,0.05638023,101376980.98907454,294922067.7396321,LM
BGR,3.479017800570547,0.10338022999999999,0.09738023000000001,359661660.39707726,338787553.59365404,H
BLR,0.5326423310953946,0.04038023,0.06638023,21508219.837368187,35356920.44584845,UM
BOL,16.52936153241811,,,,,LM
BRA,123.94422614048142,0.11129963200000001,0.08029963200000001,13794946757.960363,9952675747.60544,UM
CAN,116.73122357314894,0.08038023,0.06338023,9382882598.991133,7398451798.247601,H
CHE,33.60069214504199,0.31838023,0.24138022999999997,10697796093.29766,8110542798.129428,H
CHN,314.155063377134,0.042996714,0.060996714,13507635411.678505,19162426552.46692,UM
CIV,0.5615213700318665,0.08438023,0.18538023,47381302.353204004,104094960.72642253,LM
COD,17.359704645898923,0.02138023,0.032380229999999996,371154478.06138754,562111229.1662756,L
COG,0.5482056264122314,,,,,LM
COL,11.176466950491164,0.15838023,0.15738023,1770131406.2061892,1758954939.2556982,UM
CUB,0.9804962078055691,-0.024619770000000003,,-24139591.12204532,,UM
