Year,Month,ISO_A3_EH,FPV_MWh,GPV_MWh
2024,1,AGO,67884.48924026947,66071.69497570126
2024,1,ALB,186536.00803721265,189757.9261681852
2024,1,ARG,188534.97233346483,180782.72655545105
2024,1,ARM,126080.24137071734,128533.9010894044
2024,1,AUS,776557.4860860227,761786.3043241398
2024,1,AUT,100963.603005238,103905.81907946784
2024,1,AZE,299827.96803303715,301387.090051077
2024,1,BDI,1162377.35595061,1152615.8559168694
2024,1,BEL,746.6247461728935,744.5146787994961
2024,1,BEN,206048.92587760655,198189.49798900235
2024,1,BFA,40008.79754845182,37816.479524077855
2024,1,BGD,405540.149807498,402532.4010853631
2024,1,BGR,99788.92971254708,99397.17127223837
2024,1,BLR,5525.004649459294,5765.916452142499
2024,1,BOL,1646754.6385736696,1605470.7661738056
2024,1,BRA,11201089.641336547,10909747.721515696
2024,1,CAN,2363707.6655130056,2528613.016135798
2024,1,CHE,835623.2074697964,851855.962288564
2024,1,CHN,16656108.05659732,16593532.511338672
2024,1,CIV,46613.939888177774,45014.10513737116
2024,1,COD,1181803.5455637556,1177857.833945504
2024,1,COG,52975.295771651545,51663.33385374345
2024,1,COL,1058548.4578955644,1024596.8839028788
2024,1,CUB,58668.24293764579,57438.75036420133
2024,1,CZE,15109.363223946975,15053.459567741496
2024,1,DEU,317190.58152574586,326034.7684990542
2024,1,DNK,25269.10818134445,25616.89210144418
2024,1,DOM,108401.68746397152,107688.65256156142
2024,1,DZA,35325.912741286185,34491.693030333576
2024,1,ECU,88230.63799413168,88207.1364032201
2024,1,EGY,1097725.7875821316,1072569.181203836
2024,1,ESP,105537.97619267114,103588.53618431624
2024,1,EST,2038.1398521994292,2137.219636526845
2024,1,ETH,960595.2225314804,937833.8018929278
2024,1,FIN,10382.95468507636,11107.397714257168
2024,1,FRA,307584.779037755,310135.9845496274
2024,1,GBR,57090.7631670754,56762.36665638213
2024,1,GEO,15061.7934617608,15251.288205181936
2024,1,GHA,55171.71429506675,53279.99351169148
2024,1,GRC,62091.960295114026,61209.51441194293
2024,1,GTM,445157.8237989563,435605.981768389
2024,1,HKG,21254.53248617871,21425.350687528287
2024,1,HND,2264.8772104865748,2230.805868126234
2024,1,HRV,7125.1888395287215,7005.763492091601
2024,1,HTI,37269.7315233668,36807.3764254297
2024,1,HUN,134637.12091074607,132311.64478960368
2024,1,IDN,1134477.4245782432,1118641.6495741964
2024,1,IND,8230641.23982643,8069664.294811893
2024,1,IRL,55631.27864206924,55431.31668724042
2024,1,IRN,342953.3227013992,342903.48407012
2024,1,IRQ,973022.678018062,953175.7231008204
2024,1,ISR,271858.6799807143,277076.8415121942
2024,1,ITA,920039.9378055754,941282.836868355
2024,1,JOR,442671.0460911773,451815.4129308916
2024,1,JPN,1037723.1938075408,1042700.1177526924
2024,1,KAZ,3222.65302577452,3228.698378322934
2024,1,KEN,1269544.9437628728,1246967.361072018
2024,1,KGZ,141508.6156819407,148314.73916133854
2024,1,KHM,906673.554971518,876204.1056743314
2024,1,KOR,132987.43926534447,134926.95583815867
2024,1,LAO,5449.715111765884,5311.679008065711
2024,1,LBN,7250.122897540989,7166.449764747271
2024,1,LKA,637274.1350067212,628172.5445764244
2024,1,LTU,11503.707394979983,12110.290257419603
2024,1,LVA,11327.914839268376,12005.978636337935
2024,1,MAR,142921.66292897408,140857.0429059261
2024,1,MDA,15993.597047297462,16089.722420316086
2024,1,MDG,24246.31184254277,24008.242632190595
2024,1,MEX,3286215.820252891,3222259.575258975
2024,1,MKD,42771.36957414356,43641.31120087384
2024,1,MLI,425789.7045492937,400747.5674884706
2024,1,MMR,50011.84238504496,49409.4971666963
2024,1,MNE,93092.18177555522,95263.99329977712
2024,1,MOZ,631256.1680728135,627233.3611505929
2024,1,MWI,901187.4121270828,891308.6745124457
2024,1,NGA,1046400.1023771889,999366.2044644764
